ID,ID_Dominio,Nome,Descricao,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
COM001,DOM001,Introdução a BPM e ciclo de vida de processos,"Conceito de processo, tipos (operacional, gerencial, suporte), ciclo PDCA, visão sistêmica",1,True,2026-07-17,2026-07-17,"Origem direta: linha 2 do HEATMAP, coluna Tópico."
COM002,DOM001,Notação BPMN 2.0,"Elementos básicos: eventos, atividades, gateways, pools, lanes, fluxos de sequência e mensagem",2,True,2026-07-17,2026-07-17,"Origem direta: linha 3 do HEATMAP, coluna Tópico."
COM003,DOM002,Mapeamento As-Is,"Técnicas de levantamento (entrevistas, observação, shadowing), documentação do estado atual",1,True,2026-07-17,2026-07-17,"Origem direta: linha 4 do HEATMAP, coluna Tópico."
COM004,DOM002,Mapeamento To-Be e análise de gaps,"Redesenho de processos, identificação de oportunidades, análise de valor agregado",2,True,2026-07-17,2026-07-17,"Origem direta: linha 5 do HEATMAP, coluna Tópico."
COM005,DOM003,Lean Thinking e eliminação de desperdícios,"8 desperdícios (TIMWOODS), fluxo de valor, just-in-time, kaizen, 5S",1,True,2026-07-17,2026-07-17,"Origem direta: linha 6 do HEATMAP, coluna Tópico."
COM006,DOM003,Six Sigma – Yellow/Green Belt,"DMAIC, ferramentas estatísticas básicas (histograma, diagrama de causa e efeito, pareto)",2,True,2026-07-17,2026-07-17,"Origem direta: linha 7 do HEATMAP, coluna Tópico."
COM007,DOM003,Six Sigma – Black Belt,"DOE, análise de regressão, controle estatístico de processo (CEP), DFSS",3,True,2026-07-17,2026-07-17,"Origem direta: linha 8 do HEATMAP, coluna Tópico."
COM008,DOM004,SOPs e manuais de processo,"Estrutura de procedimento operacional padrão, padronização, versionamento de documentos",1,True,2026-07-17,2026-07-17,"Origem direta: linha 9 do HEATMAP, coluna Tópico."
COM009,DOM004,Matriz RACI e gestão de responsabilidades,"Definição de papéis (Responsible, Accountable, Consulted, Informed), aplicação em projetos e processos",2,True,2026-07-17,2026-07-17,"Origem direta: linha 10 do HEATMAP, coluna Tópico."
COM010,DOM004,Frameworks ABPMP e maturidade BPM,"ABPMP BPM CBOK, modelos de maturidade (CMMI, OMG BPMM), avaliação e evolução de capacidades",3,True,2026-07-17,2026-07-17,"Origem direta: linha 11 do HEATMAP, coluna Tópico."
COM011,DOM005,Escritório de Processos (BPMO),"Papel e estrutura do BPMO, funções de governança, portfólio de processos, modelo operacional do escritório",1,True,2026-07-17,2026-07-17,"Origem direta: linha 12 do HEATMAP, coluna Tópico."
COM012,DOM005,Auditoria e conformidade de processos,"Auditoria interna de processos, conformidade regulatória, controles internos (COSO), evidências de execução",2,True,2026-07-17,2026-07-17,"Origem direta: linha 13 do HEATMAP, coluna Tópico."
COM013,DOM005,Maturidade organizacional (CMMI / OMG BPMM),"Níveis de maturidade CMMI-DEV e OMG BPMM, avaliação SCAMPI, roadmap de evolução, benchmarking",3,True,2026-07-17,2026-07-17,"Origem direta: linha 14 do HEATMAP, coluna Tópico."
COM014,DOM005,LGPD aplicada a processos e SOPs,"Mapeamento de dados pessoais em fluxos de processo, adequação de SOPs à LGPD, RIPD (Relatório de Impacto)",4,True,2026-07-17,2026-07-17,"Origem direta: linha 15 do HEATMAP, coluna Tópico."
COM015,DOM006,Gestão por processos e estrutura organizacional,"Diferença entre gestão funcional e por processos, escritório de processos (BPMO), KPIs de processo",1,True,2026-07-17,2026-07-17,"Origem direta: linha 16 do HEATMAP, coluna Tópico."
COM016,DOM006,Arquitetura de processos e cadeia de valor,"Hierarquia de processos, cadeia de valor de Porter, alinhamento estratégico, EPC (Enterprise Process Chain)",2,True,2026-07-17,2026-07-17,"Origem direta: linha 17 do HEATMAP, coluna Tópico."
COM017,DOM007,Introdução a RPA,"Conceitos de automação robótica, diferença RPA vs integração, casos de uso em BI",1,True,2026-07-17,2026-07-17,"Origem direta: linha 18 do HEATMAP, coluna Tópico."
